long_name,overall,potential,cluster
Kylian Mbappé Lottin,91,94,0
Erling Braut Haaland,91,94,0
Kevin De Bruyne,91,91,0
Lionel Andrés Messi Cuccittini,90,90,0
Karim Benzema,90,90,0
Robert Lewandowski,90,90,0
Thibaut Nicolas Marc Courtois,90,90,1
Harry Kane,90,90,0
Vinícius José Paixão de Oliveira Júnior,89,94,0
Alisson Ramsés Becker,89,90,1
Rodrigo Hernández Cascante,89,90,0
Rúben dos Santos Gato Alves Dias,89,90,0
Neymar da Silva Santos Júnior,89,89,0
Marc-André ter Stegen,89,89,1
Carlos Henrique Venancio Casimiro,89,89,0
Virgil van Dijk,89,89,0
Mohamed Salah Ghaly,89,89,0
Federico Santiago Valverde Dipetta,88,92,0
Victor James Osimhen,88,91,0
Ederson Santana de Moraes,88,89,1
Joshua Walter Kimmich,88,89,0
Antoine Griezmann,88,88,0
Jan Oblak,88,88,1
Bruno Miguel Borges Fernandes,88,88,0
Bernardo Mota Veiga de Carvalho e Silva,88,88,0
Martin Ødegaard,87,90,0
Frenkie de Jong,87,90,0
Gianluigi Donnarumma,87,90,1
Lautaro Javier Martínez,87,90,0
Gregor Kobel,87,90,1
Mike Maignan,87,89,1
Marcos Aoás Corrêa,87,88,0
Manuel Peter Neuer,87,87,1
Luka Modrić,87,87,0
손흥민 孙兴慜,87,87,0
Jamal Musiala,86,93,0
Khvicha Kvaratskhelia,86,92,0
Pedro González López,86,92,0
Rafael Alexandre Conceição Leão,86,91,0
Jude Victor William Bellingham,86,91,0
Ronald Federico Araújo da Silva,86,91,0
Bukayo Saka,86,90,0
Matthijs de Ligt,86,89,0
Éder Gabriel Militão,86,89,0
Sandro Tonali,86,89,0
Nicolò Barella,86,88,0
Trent Alexander-Arnold,86,88,0
Christopher Nkunku,86,88,0
Ousmane Dembélé,86,87,0
Cristiano Ronaldo dos Santos Aveiro,86,86,0
Toni Kroos,86,86,0
Wojciech Tomasz Szczęsny,86,86,1
İlkay Gündoğan,86,86,0
Daniel Parejo Muñoz,86,86,0
Riyad Mahrez,86,86,0
Sadio Mané,86,86,0
João Pedro Cavaco Cancelo,86,86,0
Paulo Bruno Exequiel Dybala,86,86,0
N'Golo Kanté,86,86,0
Andrew Robertson,86,86,0
Sergej Milinković-Savić,86,86,0
Rodrygo Silva de Goes,85,91,0
Florian Richard Wirtz,85,91,0
Theo Bernard François Hernández,85,90,0
Alessandro Bastoni,85,90,0
Philip Foden,85,90,0
Jules Koundé,85,89,0
Marcus Rashford,85,88,0
Diogo José Teixeira da Silva,85,87,0
Declan Rice,85,87,0
John Stones,85,86,0
Aymeric Laporte,85,86,0
André Onana,85,86,1
Kieran Trippier,85,85,0
Kevin Trapp,85,85,1
Ciro Immobile,85,85,0
Iago Aspas Juncal,85,85,0
Keylor Navas Gamboa,85,85,1
David Olatukunbo Alaba,85,85,0
Raphaël Varane,85,85,0
Damián Emiliano Martínez,85,85,1
Antonio Rüdiger,85,85,0
Jack Grealish,85,85,0
Hakan Çalhanoğlu,85,85,0
Leon Christoph Goretzka,85,85,0
Yassine Bounou,85,85,1
Thomas Partey,85,85,0
Domenico Berardi,85,85,0
Kingsley Junior Coman,85,85,0
Giovanni Di Lorenzo,85,85,0
Marcos Javier Acuña,85,85,0
Aurélien Tchouaméni,84,89,0
Ismaël Bennacer,84,88,0
Fikayo Tomori,84,88,0
Moussa Diaby,84,88,0
Gabriel Teodoro Martinelli Silva,84,88,0
Aaron Ramsdale,84,87,1
Randal Kolo Muani,84,87,0
Lisandro Martínez,84,87,0
Gleison Bremer Silva Nascimento,84,87,0
Bruno Guimarães Rodriguez Moura,84,87,0
Niklas Süle,84,86,0
Rúben Diogo da Silva Neves,84,86,0
Alejandro Remiro Gargallo,84,86,1
Gabriel dos Santos Magalhães,84,86,0
Achraf Hakimi Mouh,84,86,0
김민재 金敏在,84,86,0
Reece James,84,86,0
Julian Brandt,84,85,0
Pierre-Emile Kordt Højbjerg,84,85,0
James Maddison,84,85,0
Lucas François Bernard Hernández Pi,84,85,0
Mikel Merino Zazón,84,85,0
Gabriel Fernando de Jesus,84,85,0
Raphael Dias Belloli,84,85,0
Federico Chiesa,84,85,0
Luis Fernando Díaz Marulanda,84,85,0
Thiago Emiliano da Silva,84,84,0
Yann Sommer,84,84,1
Péter Gulácsi,84,84,1
Kyle Walker,84,84,0
Thiago Alcântara do Nascimento,84,84,0
Thomas Müller,84,84,0
Chris Smalling,84,84,0
Romelu Lukaku Menama,84,84,0
Koen Casteels,84,84,1
Jorge Resurrección Merodio,84,84,0
Luis Alberto Romero Alconchel,84,84,0
Kalidou Koulibaly,84,84,0
Memphis Depay,84,84,0
Nick Pope,84,84,1
Serge David Gnabry,84,84,0
Matthias Ginter,84,84,0
